date,open,high,low,close,volume
20/11/2012,32.8,33.1,31.91,33,922500
21/11/2012,32.61,33.47,32.286,32.47,963200
23/11/2012,32.6,32.83,31.7,32.13,430300
26/11/2012,32.1,32.3,31.62,32.27,495800
27/11/2012,32.13,32.66,31.52,32.15,910800
28/11/2012,32,34.29,31.91,33.23,1525200
29/11/2012,33.44,34,32.87,33.69,1103400
30/11/2012,33.63,34.28,33.01,33.82,1420300
03/12/2012,33.89,35,33.5,34.62,2085700
04/12/2012,34.08,34.8,33.55,33.9,1263300
05/12/2012,33.82,34.19,33.58,33.71,661500
06/12/2012,33.82,34.8,33.5,33.9,660400
07/12/2012,34.3,34.49,33.85,34.17,664400
10/12/2012,34.43,34.7999,34.18,34.57,929800
11/12/2012,34.6,35.5,34.46,35.28,1572600
12/12/2012,35.21,35.8,34.95,35.26,2063800
13/12/2012,35.26,35.3,32.75,33.61,2151300
14/12/2012,33.6,34.4,33.59,33.81,1023000
17/12/2012,33.77,34.5,33.75,34.4,824900
18/12/2012,34.26,35.07,34.26,34.59,1553900
19/12/2012,34.75,35.26,34.52,34.61,1298800
20/12/2012,34.51,34.7881,34.05,34.43,921200
21/12/2012,33.94,34.17,33.58,34,1492400
24/12/2012,33.64,34.35,33.55,34.28,375800
26/12/2012,33.96,34.5,33.5,33.59,601400
27/12/2012,33.5,33.91,33,33.69,561100
28/12/2012,33.38,33.65,33.02,33.22,414100
31/12/2012,33,33.97,33,33.87,594900
02/01/2013,35,35.4499,34.705,35.36,1194800
03/01/2013,35.18,35.45,34.75,34.77,742000
04/01/2013,34.8,34.8,33.92,34.4,674000
07/01/2013,34.8,34.8,33.9,34.34,442000
08/01/2013,34.5,34.5,33.11,33.68,1284000
09/01/2013,34.01,34.19,33.4,33.64,698000
10/01/2013,33.87,33.99,33.38,33.53,922500
11/01/2013,34.04,34.04,32.11,32.91,1563200
14/01/2013,33.08,33.38,32.85,33.26,925100
15/01/2013,33.11,34.25,33.08,33.9,1624200
16/01/2013,33.85,34.23,33.73,34.1,1378200
17/01/2013,34.16,34.85,33.92,34.38,1436700
18/01/2013,34.74,34.78,33.82,34.52,3555100
22/01/2013,34.56,35.55,34.26,35.19,1920200
23/01/2013,35.02,36.24,34.96,36,1564300
24/01/2013,36,37.72,35.84,36.99,1970400
25/01/2013,37,37.54,36.8,36.98,1287800
28/01/2013,36.86,38.71,36.86,38.03,1986000
29/01/2013,38.1,38.44,37.13,37.95,1426600
30/01/2013,37.85,38,37.43,37.52,968100
31/01/2013,37.87,37.87,36.93,37.51,901400
01/02/2013,38.17,38.5,37.62,38.3,1100600
04/02/2013,38.4,38.42,37.59,37.74,1128000
05/02/2013,38,38.65,37.68,38.13,1310200
06/02/2013,38.18,39.39,37.9045,39.17,1893200
07/02/2013,39.19,39.68,38.95,39.48,1196600
08/02/2013,39.45,40,39.14,39.24,1139800
11/02/2013,37.98,39.15,37.5,38.42,3266300
12/02/2013,38.45,38.87,37.29,37.89,2261300
13/02/2013,38.3,39,38.05,38.45,966800
14/02/2013,38.64,38.75,38.21,38.3,990700
15/02/2013,38.5,38.51,36.95,37.04,2017600
19/02/2013,37.36,39.29,37.31,39.28,2701400
20/02/2013,39.3,39.65,38.46,38.54,3122000
21/02/2013,36.49,37.39,34.54,35.16,9037800
22/02/2013,35.72,36.39,35.6,36.11,2547300
25/02/2013,36.15,36.75,34.34,34.38,2889400
26/02/2013,34.46,34.96,33.8,34.43,2762900
27/02/2013,34.41,35.41,34.4,35.1,1959200
28/02/2013,35.89,36.1,34.37,34.83,1964900
01/03/2013,35,35.08,34.25,34.65,1546600
04/03/2013,34.77,35.83,34.7,35.58,1757700
05/03/2013,36,36.92,35.79,36.65,2087000
06/03/2013,37.01,37.88,36.97,37.69,1150000
07/03/2013,37.73,38.65,36.88,38.23,1158300
08/03/2013,38.06,39.44,37.36,38.47,912100
11/03/2013,38.87,39.44,38.65,39.1,1579500
12/03/2013,38.9,39.38,38.85,39.12,1275100
13/03/2013,39,39.49,38.81,38.98,822000
14/03/2013,38.9,38.91,36.77,36.85,2021000
15/03/2013,36.64,36.65,35.21,35.29,3279600
18/03/2013,35.3,36.06,34.92,35.15,1316100
19/03/2013,35.25,35.6,34.94,35.08,1098500
20/03/2013,35.26,36.07,35.16,35.95,1423000
21/03/2013,35.95,37.06,35.74,36.01,1146300
22/03/2013,36.2,36.8,36.2,36.62,440200
25/03/2013,37.1,38.52,36.77,37.53,2378800
26/03/2013,37.98,38.22,37.66,37.86,1808200
27/03/2013,37.94,38.38,37.31,38.16,1296300
28/03/2013,38.23,38.24,37.75,37.89,1158700
01/04/2013,42.36,46.68,41.7,43.93,14098500
02/04/2013,43.6,45.5,43.5101,44.34,6652400
03/04/2013,43.1,43.47,40.2105,41.1,5643600
04/04/2013,41.11,42.25,40.811,42.01,2264800
